iter	F1	Logloss
717	0.9883275264	0.06836968732
718	0.9883370819	0.06831203578
719	0.9883457516	0.06826144455
720	0.9883535764	0.06823029445
721	0.988368683	0.06814468755
722	0.9883839575	0.06805652222
723	0.988398324	0.06797008739
724	0.9884064439	0.06792812166
725	0.9884207479	0.06783521797
726	0.9884292925	0.06779095529
727	0.9884387867	0.06773641929
728	0.9884477747	0.06769269497
729	0.98845788	0.06764733504
730	0.9884714259	0.06758431088
731	0.9884786421	0.06753951561
732	0.988485985	0.06750834074
733	0.9885005445	0.0674159825
734	0.9885100621	0.06735871646
735	0.988522726	0.0672990136
736	0.9885327504	0.06724622117
737	0.9885485553	0.06716294047
738	0.9885577131	0.06710296527
739	0.9885683494	0.06704242485
740	0.9885749971	0.06701483348
741	0.9885813284	0.06696616125
742	0.9885965457	0.06689490584
743	0.9886064229	0.06683788835
744	0.9886222937	0.06677043435
745	0.9886330797	0.06670657775
746	0.9886399816	0.06666608592
747	0.9886487833	0.06661434977
748	0.988661701	0.06654753426
749	0.9886762458	0.06648378744
750	0.988682705	0.06644982185
751	0.9886941453	0.06640181876
752	0.9887079925	0.06632099738
753	0.9887179986	0.06625430835
754	0.988726295	0.06621840061
755	0.9887335782	0.06616462328
756	0.9887427615	0.06610179285
757	0.9887509733	0.0660660719
758	0.9887604952	0.06601741755
759	0.988771094	0.065970888
760	0.9887851551	0.06590275515
761	0.9887953958	0.06585857098
762	0.9888009064	0.06583320407
763	0.9888090345	0.06578176612
764	0.9888173753	0.06574532369
765	0.9888273202	0.06570847822
766	0.9888362733	0.06567092557
767	0.9888460286	0.06561660373
768	0.9888568823	0.06554630875
769	0.9888656877	0.06549357643
770	0.9888770907	0.06543675114
771	0.9888903944	0.06537541025
772	0.9888988416	0.06532782615
773	0.9889059792	0.06528888746
774	0.9889172351	0.06523377658
775	0.988924669	0.06518847793
776	0.9889366222	0.06512263989
777	0.9889462952	0.06507650058
778	0.9889563061	0.06501903233
779	0.9889740263	0.06491951853
780	0.9889813764	0.06488440874
781	0.9889915357	0.06483399995
782	0.9890000689	0.06477626065
783	0.9890128267	0.06470389274
784	0.9890213813	0.06464625969
785	0.9890295137	0.06459473303
786	0.9890426947	0.06453631255
787	0.9890534256	0.06447220107
788	0.9890684451	0.06437996522
789	0.9890805074	0.06430368496
790	0.989087627	0.06426811941
791	0.9891002392	0.06421706034
792	0.9891065771	0.06419092855
793	0.9891126615	0.06415421164
794	0.9891277463	0.06408133113
795	0.989134042	0.06403434437
796	0.9891389859	0.06399586488
797	0.9891511982	0.06393738795
798	0.9891579388	0.06388871308
799	0.9891651658	0.06384109073
800	0.9891818568	0.06376419628
801	0.9891882383	0.06371248672
